Symbol,Name,Isotope,ExactMass,Abundance,Valence,MonoisotopicFlag
H,Hydrogen,1,1.00782503207,0.999885,1,1
H,Hydrogen,2,2.01410177785,0.000115,1,0
C,Carbon,12,12.000000000,0.9893,4,1
C,Carbon,13,13.00335483778,0.0107,4,0
N,Nitrogen,14,14.0030740048,0.99632,3,1
N,Nitrogen,15,15.00010899,0.00368,3,0
O,Oxygen,16,15.99491461956,0.99757,2,1
O,Oxygen,17,16.99913170,0.00038,2,0
O,Oxygen,18,17.9991610,0.00205,2,0
F,Fluorine,19,18.99840322,1.0,1,1
Si,Silicon,28,27.9769265325,0.92223,4,1
Si,Silicon,29,28.976494700,0.04685,4,0
Si,Silicon,30,29.97377017,0.03092,4,0
P,Phosphorus,31,30.97376163,1.0,3,1
S,Sulfur,32,31.97207100,0.9499,2,1
S,Sulfur,33,32.97145876,0.0075,2,0
S,Sulfur,34,33.96786690,0.0425,2,0
S,Sulfur,36,35.96708076,0.0001,2,0
Cl,Chlorine,35,34.96885268,0.7576,1,1
Cl,Chlorine,37,36.96590259,0.2424,1,0
Br,Bromine,79,78.9183371,0.5069,1,1
Br,Bromine,81,80.9162897,0.4931,1,0
I,Iodine,127,126.904468,1.0,1,1
B,Boron,10,10.01293695,0.199,3,0
B,Boron,11,11.00930536,0.801,3,1
Na,Sodium,23,22.98976928,1.0,1,1
Mg,Magnesium,24,23.98504170,0.7899,2,1
Mg,Magnesium,25,24.98583692,0.1000,2,0
Mg,Magnesium,26,25.98259293,0.1101,2,0
Al,Aluminium,27,26.98153863,1.0,3,1
K,Potassium,39,38.96370668,0.932581,1,1
K,Potassium,40,39.96399848,0.000117,1,0
K,Potassium,41,40.96182576,0.067302,1,0
Ca,Calcium,40,39.96259098,0.96941,2,1
Ca,Calcium,42,41.95861801,0.00647,2,0
Ca,Calcium,43,42.95876663,0.00135,2,0
Ca,Calcium,44,43.95548156,0.02086,2,0
Ca,Calcium,46,45.95368996,0.00004,2,0
Ca,Calcium,48,47.95252276,0.00187,2,0
Ti,Titanium,46,45.95262772,0.0825,4,0
Ti,Titanium,47,46.95175879,0.0744,4,0
Ti,Titanium,48,47.94794198,0.7372,4,1
Ti,Titanium,49,48.94786568,0.0541,4,0
Ti,Titanium,50,49.94478689,0.0518,4,0
V,Vanadium,50,49.94715601,0.00250,5,0
V,Vanadium,51,50.94395704,0.99750,5,1
Cr,Chromium,50,49.94604183,0.04345,3,0
Cr,Chromium,52,51.94050623,0.83789,3,1
Cr,Chromium,53,52.94064815,0.09501,3,0
Cr,Chromium,54,53.93887916,0.02365,3,0
Mn,Manganese,55,54.93804391,1.0,2,1
Fe,Iron,54,53.93960899,0.05845,3,0
Fe,Iron,56,55.93493633,0.91754,3,1
Fe,Iron,57,56.93539284,0.02119,3,0
Fe,Iron,58,57.93327443,0.00282,3,0
Co,Cobalt,59,58.93319429,1.0,2,1
Ni,Nickel,58,57.93534241,0.68077,2,1
Ni,Nickel,60,59.93078588,0.26223,2,0
Ni,Nickel,61,60.93105557,0.01140,2,0
Ni,Nickel,62,61.92834537,0.03634,2,0
Ni,Nickel,64,63.92796682,0.00926,2,0
Cu,Copper,63,62.92959772,0.6915,2,1
Cu,Copper,65,64.92778970,0.3085,2,0
Zn,Zinc,64,63.92914201,0.4917,2,1
Zn,Zinc,66,65.92603381,0.2773,2,0
Zn,Zinc,67,66.92712775,0.0404,2,0
Zn,Zinc,68,67.92484455,0.1845,2,0
Zn,Zinc,70,69.92531945,0.0061,2,0
As,Arsenic,75,74.92159457,1.0,3,1
Se,Selenium,74,73.92247593,0.0089,2,0
Se,Selenium,76,75.91921370,0.0937,2,0
Se,Selenium,77,76.91991415,0.0763,2,0
Se,Selenium,78,77.91730928,0.2377,2,1
Se,Selenium,80,79.91652177,0.4961,2,0
Se,Selenium,82,81.91669956,0.0873,2,0
Sn,Tin,112,111.90482387,0.0097,4,0
Sn,Tin,114,113.90278159,0.0066,4,0
Sn,Tin,115,114.90334469,0.0034,4,0
Sn,Tin,116,115.90174280,0.1454,4,0
Sn,Tin,117,116.90295398,0.0768,4,0
Sn,Tin,118,117.90160657,0.2422,4,1
Sn,Tin,119,118.90331117,0.0859,4,0
Sn,Tin,120,119.90220163,0.3258,4,0
Sn,Tin,122,121.90344006,0.0463,4,0
Sn,Tin,124,123.90527766,0.0579,4,0
Pb,Lead,204,203.97304274,0.014,2,0
Pb,Lead,206,205.97446570,0.241,2,0
Pb,Lead,207,206.97589686,0.221,2,0
Pb,Lead,208,207.97666521,0.524,2,1
